Universities ,Location,Province,Courses,Level
American College of Higher Education (ACHE),"""Edith Cowan University, Perth, Australia""",Western,"""Degree, Masters, Foundation""",Medium
Australian College of Business and Technology (ACBT),"""Edith Cowan University, Perth, Australia""",Western,"""Degree, Masters, Foundation""",Medium
British College of Applied Studies (BCAS),"""University of Wolverhampton, UK; Asia e University, Malaysia""","""Western, Central, Northern, and Eastern""","""Degree, Masters, Foundation""",Low
Colombo International Nautical and Engineering College (CINEC),"""University of Wolverhampton, UK; University of Plymouth, UK; Australian Maritime College, Australia""",Western,"""Degree, Masters""",High
Horizon Campus,,Western,"""Degree, Masters, Foundation""",Medium
Informatics Institute of Technology (IIT),"University of Westminster, UK",Western,"""Degree, Masters, Foundation""",High
National School of Business Management (NSBM),"""Limkokwing University of Creative Technology, Malaysia""",Western,"""Degree, Masters, Foundation""",Medium
Open University of Sri Lanka (OUSL),"""Indira Gandhi National Open University, India; Bangladesh Open University, Bangladesh; University of the South Pacific, Fiji; Open University, UK""",Western,"""Degree, Masters, Foundation""",Low
SAITM (South Asian Institute of Technology and Medicine),"""Northumbria University, UK; Metropolitan State University, USA; Nizhny Novgorod State Medical Academy, Russia""",Western,"""Degree, Masters""",High
Sri Lanka Institute of Information Technology (SLIIT),"""Curtin University, Australia; Sheffield Hallam University, UK; Deakin University, Australia; La Trobe University, Australia""","""Western, Central, Northern, and North Western""","""Degree, Masters, Foundation""",Medium
University of Central Lancashire (UCLan),"""University of Central Lancashire, UK""",Western,"""Degree, Masters, Foundation""",High
Colombo Institute of Research,,Western,"""Masters, PhD""",High
