Foundation Programme for Bachelor’s Degree,Business, Colombo / Kandy / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-programme-for-bachelors-degree/
Proficiency in business Writing,Languages, Colombo / , Foundation ,Full Time,02 1/2 months,https://www.nibm.lk/programmes/proficiency-in-business-writing/
Foundation Programme for Bachelor’s Degree,Business, Colombo / Kandy / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-programme-for-bachelors-degree/
Foundation Programme for Bachelor’s Degree,Business, Colombo / Kandy / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-programme-for-bachelors-degree/
Foundation Course in Psychology & Counselling,Humanities, Kirulapone / KIC / Kandy / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-course-in-psychology-counselling/
Foundation in Design,Design, Kirulapone / KIC / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-in-design/
Foundation Course in Psychology & Counselling,Humanities, Kirulapone / KIC / Kandy / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-course-in-psychology-counselling/
Foundation in Data Science,Business Analytics Centre, Kirulapone / KIC / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-in-data-science/
Foundation in Design,Design, Kirulapone / KIC / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-in-design/
Foundation Course in Psychology & Counselling,Humanities, Kirulapone / KIC / Kandy / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-course-in-psychology-counselling/
Foundation in Data Science,Business Analytics Centre, Kirulapone / KIC / , Foundation ,Full Time,1 Year,https://www.nibm.lk/programmes/foundation-in-data-science/
