Higher National Diploma in Human Resource Management (Part Time),Business, Colombo / Galle / , Higher National Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-p-t/
Higher National Diploma in Human Resource Management (Full Time),Business, Colombo / KIC / , Higher National Diploma ,Full Time,1 Year 540 Hours,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-f-t/
Higher National Diploma in Business Management (Full Time),Business, Colombo / Kandy / Kurunagala / , Higher National Diploma ,Full Time, 1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-full-time/
Higher National Diploma in Business Management (Part Time),Business, Colombo / Kandy / Galle / Kurunagala / , Higher National Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-part-time/
Higher National Diploma in Digital Filmmaking,Computing, Colombo / , Higher National Diploma ,Full Time,02 years,https://www.nibm.lk/programmes/higher-national-diploma-in-digital-filmmaking/
Higher National Diploma in Network Engineering (Part Time),Computing, Colombo / , Higher National Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-network-engineering-part-time/
Higher National Diploma in Network Engineering (Full Time),Computing, Colombo / Kurunagala / , Higher National Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-network-engineering-full-time/
Higher National Diploma in Software Engineering (Full Time),Computing, Colombo / , Higher National Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-software-engineering-full-time/
Higher National Diploma in Internet of Things Engineering,Engineering, Colombo / , Higher National Diploma ,Full Time,2 Years,https://www.nibm.lk/programmes/higher-national-diploma-in-iot-engineering/
Higher National Diploma in Logistics Management (Full-Time),Productivity and Quality Centre, Colombo / , Higher National Diploma ,Full Time ,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-logistics-management/
Higher National Diploma In Fashion design full Time Programme,Design, Kandy / Galle / Matara / Kirulapone / Colombo / Kurunagala / , Higher National Diploma ,Full Time ,1 Year ,https://www.nibm.lk/programmes/higher-national-diploma-in-fashion-design-full-time-programme/
Higher National Diploma In Interior Architecture Full Time Programme,Design, Colombo / Kandy / Kurunagala / Galle / Matara / Kirulapone / , Higher National Diploma ,Full Time ,1 Year ,https://www.nibm.lk/programmes/higher-national-diploma-in-interior-architecture-full-time-programme/
Higher National Diploma in Information Systems (Full Time),Computing, Kurunagala / Colombo / , Higher National Diploma ,Full Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-information-systems-full-time/
Higher National Diploma in Human Resource Management (Part Time),Business, Colombo / Galle / , Higher National Diploma ,Part Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-p-t/
Higher National Diploma in Human Resource Management (Full Time),Business, Colombo / KIC / , Higher National Diploma ,Full Time,1 Year 540 Hours,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-f-t/
Higher National Diploma in Business Management (Full Time),Business, Colombo / Kandy / Kurunagala / , Higher National Diploma ,Full Time, 1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-full-time/
Higher National Diploma in Business Management (Part Time),Business, Colombo / Kandy / Galle / Kurunagala / , Higher National Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-part-time/
Higher National Diploma in Digital Banking and Finance (Full-Time),Business, Colombo / , Higher National Diploma ,Full-Time,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-digital-banking-and-finance/
Higher National Diploma in Business Management (Full Time),Business, Colombo / Kandy / Kurunagala / , Higher National Diploma ,Full Time, 1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-full-time/
Higher National Diploma in Business Management (Part Time),Business, Colombo / Kandy / Galle / Kurunagala / , Higher National Diploma ,Part Time / Weekend,1 Year,https://www.nibm.lk/programmes/higher-national-diploma-in-business-management-part-time/
Higher National Diploma In Fashion design full Time Programme,Design, Kandy / Galle / Matara / Kirulapone / Colombo / Kurunagala / , Higher National Diploma ,Full Time ,1 Year ,https://www.nibm.lk/programmes/higher-national-diploma-in-fashion-design-full-time-programme/
Higher National Diploma In Interior Architecture Full Time Programme,Design, Colombo / Kandy / Kurunagala / Galle / Matara / Kirulapone / , Higher National Diploma ,Full Time ,1 Year ,https://www.nibm.lk/programmes/higher-national-diploma-in-interior-architecture-full-time-programme/
Higher National Diploma In Fashion design full Time Programme,Design, Kandy / Galle / Matara / Kirulapone / Colombo / Kurunagala / , Higher National Diploma ,Full Time ,1 Year ,https://www.nibm.lk/programmes/higher-national-diploma-in-fashion-design-full-time-programme/
Higher National Diploma In Interior Architecture Full Time Programme,Design, Colombo / Kandy / Kurunagala / Galle / Matara / Kirulapone / , Higher National Diploma ,Full Time ,1 Year ,https://www.nibm.lk/programmes/higher-national-diploma-in-interior-architecture-full-time-programme/
Higher National Diploma in Human Resource Management (Full Time),Business, Colombo / KIC / , Higher National Diploma ,Full Time,1 Year 540 Hours,https://www.nibm.lk/programmes/higher-national-diploma-in-human-resource-management-f-t/
